country,year,gdp,population,unemployment,gdp_growth,gdp_per_capita,growth_category,decade,population_growth,gdp_category
Africa Western and Central,1986,109517776160.1,187889141.0,6.06402519158205,1.26624185274422,582.8850756207354,Low,1980,2.7777879582960407,Low GDP
Africa Western and Central,1987,112641148828.574,193104347.0,6.06402519158205,1.41061105358675,583.3175201828782,Low,1980,2.7756824967335447,Low GDP
Africa Western and Central,1988,111770322169.923,198485027.0,6.06402519158205,4.76138100878075,563.117147218984,Medium,1980,2.7864106031750824,Low GDP
Africa Western and Central,1989,104577372052.932,204062274.0,6.06402519158205,1.72342532197777,512.4777353649015,Low,1980,2.8099081750886823,Low GDP
Africa Western and Central,1990,124277825786.697,209566031.0,6.06402519158205,5.60085021409205,593.0246671832851,High,1990,2.697096769587115,Low GDP
Africa Western and Central,1991,130794315519.503,215178709.0,4.15789313945605,1.11811895873286,607.8404137999685,Low,1990,2.678238440274705,Low GDP
Africa Western and Central,1992,125449432677.392,221191375.0,4.24671355789136,2.28916886356546,567.1533651680224,Medium,1990,2.7942662301222443,Low GDP
Africa Western and Central,1993,130547124413.669,227246778.0,4.36703329539105,-1.3255543728517,574.4729389019941,Low,1990,2.7376307055372306,Low GDP
Africa Western and Central,1994,135350756019.393,233360104.0,4.39009720211516,-0.228792690878734,580.0081234939499,Low,1990,2.690170595069996,Low GDP
Africa Western and Central,1995,207843864308.605,239801875.0,4.39276887843604,1.85163689242765,866.7316062837499,Low,1990,2.7604422905125103,Low GDP
Africa Western and Central,1996,263563556144.176,246415446.0,4.32613401613888,4.62182205216881,1069.5902404761428,Medium,1990,2.7579313130891903,Low GDP
Africa Western and Central,1997,276460023661.745,253207584.0,4.29611784310687,4.38782099734694,1091.8315292710388,Medium,1990,2.7563767248584004,Low GDP
Africa Western and Central,1998,297126502718.937,260297834.0,4.30420099773995,3.6155976305877,1141.4866507069628,Medium,1990,2.800172841584403,Low GDP
Africa Western and Central,1999,140119071338.285,267506298.0,4.48967729134782,1.51799464318927,523.7972802355666,Low,1990,2.7693138622121527,Low GDP
Africa Western and Central,2000,142700161610.079,274968446.0,4.53084348194886,3.81216115039309,518.9692260546834,Medium,2000,2.789522361077279,Low GDP
Africa Western and Central,2001,150714426912.056,282780717.0,4.46519556174692,5.24868324071915,532.9727872217538,High,2000,2.841151817107046,Low GDP
Africa Western and Central,2002,180129182230.862,290841795.0,4.27370648574837,9.94330712251539,619.3373350307579,High,2000,2.8506462836360935,Low GDP
Africa Western and Central,2003,208646527354.851,299142845.0,4.1679789387801,5.62636064767845,697.4812563370888,High,2000,2.8541461862453543,Low GDP
Africa Western and Central,2004,257939299771.713,307725100.0,4.08689146118398,8.07147345054227,838.2133916658505,High,2000,2.868948779303082,Low GDP
Africa Western and Central,2005,316515667947.035,316588476.0,4.09646467682858,5.79743371948868,999.7700230473171,High,2000,2.8802902330684166,Low GDP
Africa Western and Central,2006,402077365740.581,325663158.0,3.96927941109318,5.28717104206022,1234.6418557440293,High,2000,2.8663968172991883,Low GDP
Africa Western and Central,2007,470947616490.719,334984176.0,3.9480584197936,5.44753043563995,1405.8801884740938,High,2000,2.8621653297361993,Low GDP
Africa Western and Central,2008,574259808704.121,344586109.0,3.96722459921357,6.21081188431489,1666.5204827050093,High,2000,2.86638405272015,Low GDP
Africa Western and Central,2009,515037106035.659,354343844.0,4.00285567701831,6.14119135977269,1453.4952836252999,High,2000,2.831726162240633,Low GDP
Africa Western and Central,2010,605794323433.505,364358270.0,3.98952016701337,7.00073960255909,1662.6336584414703,High,2010,2.82618879079497,Low GDP
Africa Western and Central,2011,691133400013.31,374790143.0,3.96721211893844,4.92204702375463,1844.0543672817726,Medium,2010,2.863081164591108,Low GDP
Africa Western and Central,2012,748030003656.802,385360349.0,3.98010182260688,5.12970299383294,1941.118243218121,High,2010,2.8202998924654166,Low GDP
Africa Western and Central,2013,844180401591.48,396030207.0,3.70779396420408,6.04669213138413,2131.606091328988,High,2010,2.7688001704607057,Low GDP
Africa Western and Central,2014,904071921008.085,406992047.0,3.88775083913174,5.6915512073646,2221.350337610123,High,2010,2.7679302755812207,Low GDP
Africa Western and Central,2015,778022057597.448,418127845.0,4.17014290578818,2.93286367242145,1860.7276862832418,Medium,2010,2.7361217699666707,Low GDP
Africa Western and Central,2016,700028168335.244,429454743.0,4.16758013639496,0.194316483405615,1630.039438952579,Low,2010,2.7089556783763014,Low GDP
Africa Western and Central,2017,694051345937.233,440882906.0,4.28399591922403,2.29634886599959,1574.230564378545,Medium,2010,2.661086688708436,Low GDP
